Comunidades y Ciudades Autónomas,Tamaño de los municipios,Periodo,Total
Andalucía,Total,2021,8472407
Cataluña,Total,2021,7763362
"Madrid, Comunidad de",Total,2021,6751251
Comunitat Valenciana,Total,2021,5058138
Galicia,Total,2021,2695645
Castilla y León,Total,2021,2383139
País Vasco,Total,2021,2213993
Canarias,Total,2021,2172944
Castilla - La Mancha,Total,2021,2049562
"Murcia, Región de",Total,2021,1518486
Aragón,Total,2021,1326261
"Balears, Illes",Total,2021,1173008
Extremadura,Total,2021,1059501
"Asturias, Principado de",Total,2021,1011792
"Navarra, Comunidad Foral de",Total,2021,661537
Cantabria,Total,2021,584507
"Rioja, La",Total,2021,319796
Melilla,Total,2021,86261
Ceuta,Total,2021,83517
